latitude,longitude,timestamp,ignition,speed
52.505460814036674,13.33979221657221,2024-10-01 00:00:00,off,0
52.50848486873192,13.333721829255719,2024-10-01 00:00:28,off,0
52.5063834487431,13.33153419977922,2024-10-01 00:00:53,on,3
52.50237944012416,13.334055766580427,2024-10-01 00:01:16,on,98
52.50281507444924,13.33487985580587,2024-10-01 00:01:29,off,0
52.50437690526101,13.333334446146827,2024-10-01 00:01:49,off,0
52.501354534121575,13.331502912585389,2024-10-01 00:02:08,off,0
52.5009636261251,13.337844550024068,2024-10-01 00:02:21,off,0
52.5078685625222,13.336493440036284,2024-10-01 00:02:49,on,54
52.50053712043808,13.338214650013406,2024-10-01 00:03:13,off,0
52.5021180018826,13.340559199858827,2024-10-01 00:03:24,off,0
52.50829830572085,13.337861768916795,2024-10-01 00:03:44,off,0
52.50974813159339,13.338379557813449,2024-10-01 00:04:09,on,82
52.5015548595968,13.33165249315649,2024-10-01 00:04:22,on,37
52.50850709694203,13.3372993359341,2024-10-01 00:04:43,on,61
52.50890011718756,13.339366982498843,2024-10-01 00:05:08,off,0
52.50443548744091,13.339413156295835,2024-10-01 00:05:20,off,0
52.50955879989526,13.334537621114398,2024-10-01 00:05:31,on,87
52.50508141112587,13.335405461516128,2024-10-01 00:05:48,on,92
52.505018828425406,13.331984199305705,2024-10-01 00:06:00,on,69
52.50293709937025,13.337225392810126,2024-10-01 00:06:20,on,83
52.507627341547334,13.335697714177087,2024-10-01 00:06:48,off,0
52.50960207127469,13.337490281041074,2024-10-01 00:06:59,on,90
52.50605297171142,13.33754115824651,2024-10-01 00:07:12,off,0
52.50517635756526,13.336456254953545,2024-10-01 00:07:32,off,0
52.50968917365768,13.340907541042274,2024-10-01 00:07:46,on,92
52.50668330769972,13.333380750405002,2024-10-01 00:08:16,off,0
52.50126924219321,13.338014105980976,2024-10-01 00:08:37,on,27
52.5054112650744,13.33612391967001,2024-10-01 00:09:04,on,90
52.508864549169935,13.333025899038471,2024-10-01 00:09:19,on,83
52.503455919740134,13.33802360366412,2024-10-01 00:09:37,on,99
52.50387983623172,13.338351551742102,2024-10-01 00:10:07,on,72
52.50610162599518,13.331016141143634,2024-10-01 00:10:17,off,0
52.504981088586156,13.333539672435533,2024-10-01 00:10:43,on,15
52.503746444095945,13.335655841496889,2024-10-01 00:11:13,on,24
52.50459506959901,13.334324118965517,2024-10-01 00:11:32,on,45
52.50983946692805,13.331816951078622,2024-10-01 00:11:50,on,20
52.50509931507586,13.333501927305253,2024-10-01 00:12:11,off,0
52.50700107444497,13.339760650964568,2024-10-01 00:12:36,on,79
52.50550999157965,13.340996453105504,2024-10-01 00:12:54,on,88
52.50257328569518,13.339303212675748,2024-10-01 00:13:22,on,49
52.50477330710734,13.33911510639769,2024-10-01 00:13:46,on,93
52.50335166074122,13.33674636908213,2024-10-01 00:13:57,off,0
52.50018664838727,13.335350369818926,2024-10-01 00:14:16,on,59
52.50736747518877,13.33852403324812,2024-10-01 00:14:27,off,0
52.50313345948355,13.337582556124008,2024-10-01 00:14:42,on,45
52.500805658208066,13.339768952155616,2024-10-01 00:15:08,on,81
52.50927109084213,13.333913166893613,2024-10-01 00:15:30,on,43
52.507526425567534,13.3361350008867,2024-10-01 00:15:59,on,97
52.50794788810134,13.340810683327476,2024-10-01 00:16:27,on,53
52.50237728119842,13.331951960778063,2024-10-01 00:16:56,on,10
52.50900508239184,13.333819354671965,2024-10-01 00:17:09,on,6
52.50531442999575,13.337985881448587,2024-10-01 00:17:19,off,0
52.50571071712019,13.34017308832148,2024-10-01 00:17:34,on,40
52.50101422278254,13.340288860322506,2024-10-01 00:17:55,on,24
52.50504038830999,13.340121633139933,2024-10-01 00:18:16,off,0
52.50531865084052,13.332385495603152,2024-10-01 00:18:32,off,0
52.504085942444675,13.33482334435573,2024-10-01 00:18:43,on,86
52.50386552060835,13.333280277652873,2024-10-01 00:18:57,off,0
52.50085009971291,13.336978429085718,2024-10-01 00:19:13,off,0
52.500209689000066,13.333612484438014,2024-10-01 00:19:33,on,34
52.502294383400134,13.337883166459424,2024-10-01 00:19:57,on,8
52.50989174179884,13.332060575143787,2024-10-01 00:20:15,off,0
52.50447444663636,13.336676384017379,2024-10-01 00:20:35,off,0
52.50484682850184,13.334611123235998,2024-10-01 00:21:00,off,0
52.50799258743619,13.333965066175338,2024-10-01 00:21:21,off,0
52.50112612587604,13.33201585853003,2024-10-01 00:21:37,off,0
52.50383438636454,13.333839982864863,2024-10-01 00:21:57,on,62
52.50634834565324,13.334286198953562,2024-10-01 00:22:11,on,28
52.50532211787706,13.3318212148314,2024-10-01 00:22:35,on,34
52.50014803851513,13.337521097852276,2024-10-01 00:22:59,on,5
52.507733140197594,13.338271851521851,2024-10-01 00:23:26,on,70
52.50365499587026,13.332944147722175,2024-10-01 00:23:51,on,26
52.50683357852018,13.331339514798538,2024-10-01 00:24:16,off,0
52.50229063090353,13.337518581555166,2024-10-01 00:24:46,off,0
