latitude,longitude,timestamp,ignition
52.500000,13.330000,2024-09-07 10:00:00,on
52.510000,13.340000,2024-09-07 10:01:00,on
52.520000,13.350000,2024-09-07 10:02:00,on
52.530000,13.360000,2024-09-07 10:03:00,on
52.540000,13.370000,2024-09-07 10:04:00,on
52.550000,13.380000,2024-09-07 10:05:00,on
52.560000,13.390000,2024-09-07 10:06:00,on
52.570000,13.400000,2024-09-07 10:07:00,on
52.580000,13.410000,2024-09-07 10:08:00,on
52.590000,13.420000,2024-09-07 10:09:00,on
52.600000,13.430000,2024-09-07 10:10:00,on
52.610000,13.440000,2024-09-07 10:11:00,on
52.620000,13.450000,2024-09-07 10:12:00,on
52.630000,13.460000,2024-09-07 10:13:00,on
52.640000,13.470000,2024-09-07 10:14:00,on
52.650000,13.480000,2024-09-07 10:15:00,on
52.660000,13.490000,2024-09-07 10:16:00,on
52.670000,13.500000,2024-09-07 10:17:00,on
52.680000,13.510000,2024-09-07 10:18:00,on
52.690000,13.520000,2024-09-07 10:19:00,on
52.700000,13.530000,2024-09-07 10:20:00,on
52.710000,13.540000,2024-09-07 10:21:00,on
52.720000,13.550000,2024-09-07 10:22:00,on
52.730000,13.560000,2024-09-07 10:23:00,on
52.740000,13.570000,2024-09-07 10:24:00,on
52.750000,13.580000,2024-09-07 10:25:00,on
