latitude,longitude,timestamp,ignition
52.500000,13.330000,2024-09-07 10:00:00,on
52.505000,13.335000,2024-09-07 10:00:20,on
52.510000,13.340000,2024-09-07 10:00:40,on
52.515000,13.345000,2024-09-07 10:01:00,on
52.520000,13.350000,2024-09-07 10:01:20,on
52.525000,13.355000,2024-09-07 10:01:40,off
52.525000,13.355000,2024-09-07 10:02:00,off
52.530000,13.360000,2024-09-07 10:02:20,on
52.535000,13.365000,2024-09-07 10:02:40,on
52.540000,13.370000,2024-09-07 10:03:00,on
52.540000,13.370000,2024-09-07 10:03:20,on
52.540000,13.370000,2024-09-07 10:03:40,on
52.545000,13.375000,2024-09-07 10:04:00,on
52.550000,13.380000,2024-09-07 10:04:20,on
52.555000,13.385000,2024-09-07 10:04:40,on
52.560000,13.390000,2024-09-07 10:05:00,on
52.560000,13.390000,2024-09-07 10:05:20,on
52.565000,13.395000,2024-09-07 10:05:40,on
52.570000,13.400000,2024-09-07 10:06:00,on
52.570000,13.400000,2024-09-07 10:06:20,off
52.570000,13.400000,2024-09-07 10:06:40,off
52.575000,13.405000,2024-09-07 10:07:00,on
52.580000,13.410000,2024-09-07 10:07:20,on
52.585000,13.415000,2024-09-07 10:07:40,on
52.590000,13.420000,2024-09-07 10:08:00,on
52.595000,13.425000,2024-09-07 10:08:20,on
52.600000,13.430000,2024-09-07 10:08:40,on
52.600000,13.430000,2024-09-07 10:09:00,on
52.600000,13.430000,2024-09-07 10:09:20,on
52.605000,13.435000,2024-09-07 10:09:40,off
52.605000,13.435000,2024-09-07 10:10:00,off
52.610000,13.440000,2024-09-07 10:10:20,on
52.615000,13.445000,2024-09-07 10:10:40,on
52.620000,13.450000,2024-09-07 10:11:00,on
52.625000,13.455000,2024-09-07 10:11:20,on
52.630000,13.460000,2024-09-07 10:11:40,on
52.635000,13.465000,2024-09-07 10:12:00,on
52.635000,13.465000,2024-09-07 10:12:20,on
52.635000,13.465000,2024-09-07 10:12:40,on
52.640000,13.470000,2024-09-07 10:13:00,on
52.645000,13.475000,2024-09-07 10:13:20,on
