longitude,latitude,timestamp,ignition
76.0711,11.0416,2024-10-29 01:42:04,on
76.07111591042235,11.041509961466478,2024-10-29 01:42:06,on
76.07111591042235,11.041509961466478,2024-10-29 01:42:08,on
76.0711783545449,11.041599495748262,2024-10-29 01:42:10,on
76.07114716447295,11.041554078157038,2024-10-29 01:42:12,on
76.07114716447295,11.041554078157038,2024-10-29 01:42:14,off
76.07114932844911,11.041459968880906,2024-10-29 01:42:16,on
76.07114932844911,11.041459968880906,2024-10-29 01:42:18,off
76.07114932844911,11.041459968880906,2024-10-29 01:42:20,off
76.07109143352464,11.041496036917216,2024-10-29 01:42:22,on
76.07109143352464,11.041496036917216,2024-10-29 01:42:24,on
76.07109143352464,11.041496036917216,2024-10-29 01:42:26,on
76.07105055563564,11.04144345563519,2024-10-29 01:42:28,on
76.07105055563564,11.04144345563519,2024-10-29 01:42:30,on
76.07105055563564,11.04144345563519,2024-10-29 01:42:32,on
76.0711094042415,11.041501849280742,2024-10-29 01:42:34,on
76.07113763008586,11.041407535097928,2024-10-29 01:42:36,on
76.07118202683434,11.041356716006545,2024-10-29 01:42:38,on
76.07118202683434,11.041356716006545,2024-10-29 01:42:40,on
76.07118202683434,11.041356716006545,2024-10-29 01:42:42,off
76.07118202683434,11.041356716006545,2024-10-29 01:42:44,off
76.07118202683434,11.041356716006545,2024-10-29 01:42:46,off
76.07119048969024,11.041302699287627,2024-10-29 01:42:48,on
76.07119048969024,11.041302699287627,2024-10-29 01:42:50,off
76.07119048969024,11.041302699287627,2024-10-29 01:42:52,on
76.07119315873705,11.04137632329683,2024-10-29 01:42:54,on
76.07119315873705,11.04137632329683,2024-10-29 01:42:56,on
76.07120769365042,11.041363072842149,2024-10-29 01:42:58,on
76.0711262798125,11.041400113974207,2024-10-29 01:43:00,on
76.07104814746671,11.04138626657197,2024-10-29 01:43:02,on
76.07104814746671,11.04138626657197,2024-10-29 01:43:04,off
76.07104814746671,11.04138626657197,2024-10-29 01:43:06,off
76.07103790644821,11.041374702546625,2024-10-29 01:43:08,on
76.07103790644821,11.041374702546625,2024-10-29 01:43:10,off
76.07095658389275,11.041328484136676,2024-10-29 01:43:12,on
76.07095658389275,11.041328484136676,2024-10-29 01:43:14,on
76.07095658389275,11.041328484136676,2024-10-29 01:43:16,off
76.07103590073248,11.041381996786766,2024-10-29 01:43:18,on
76.07103590073248,11.041381996786766,2024-10-29 01:43:20,on
76.07098849131751,11.041326809819406,2024-10-29 01:43:22,on
76.07098849131751,11.041326809819406,2024-10-29 01:43:24,off
76.07098849131751,11.041326809819406,2024-10-29 01:43:26,on
76.07098849131751,11.041326809819406,2024-10-29 01:43:28,off
76.07098849131751,11.041326809819406,2024-10-29 01:43:30,off
76.07104952214196,11.041227502891564,2024-10-29 01:43:32,on
76.07104952214196,11.041227502891564,2024-10-29 01:43:34,on
76.07096700891215,11.041261567070624,2024-10-29 01:43:36,on
76.07099187656672,11.041265605971406,2024-10-29 01:43:38,on
76.07099831992548,11.041233651340576,2024-10-29 01:43:40,on
76.07099831992548,11.041233651340576,2024-10-29 01:43:42,on
76.07099831992548,11.041233651340576,2024-10-29 01:43:44,off
76.07101695339662,11.041198441428897,2024-10-29 01:43:46,on
76.07099891574599,11.041104051170393,2024-10-29 01:43:48,on
76.07098077631161,11.041156906994468,2024-10-29 01:43:50,on
76.07098077631161,11.041156906994468,2024-10-29 01:43:52,on
76.07098077631161,11.041156906994468,2024-10-29 01:43:54,on
76.07094367281115,11.041060666701103,2024-10-29 01:43:56,on
76.07089143263978,11.041061719291688,2024-10-29 01:43:58,on
76.07089143263978,11.041061719291688,2024-10-29 01:44:00,off
76.0708360944066,11.041065451395871,2024-10-29 01:44:02,on
76.0708360944066,11.041065451395871,2024-10-29 01:44:04,on
76.0708360944066,11.041065451395871,2024-10-29 01:44:06,off
76.07089595444795,11.041081903816186,2024-10-29 01:44:08,on
76.07089595444795,11.041081903816186,2024-10-29 01:44:10,off
76.07089595444795,11.041081903816186,2024-10-29 01:44:12,on
76.07089595444795,11.041081903816186,2024-10-29 01:44:14,off
76.07099439876465,11.041002913201496,2024-10-29 01:44:16,on
76.07099439876465,11.041002913201496,2024-10-29 01:44:18,off
76.07099439876465,11.041002913201496,2024-10-29 01:44:20,off
76.07106149698049,11.040951305430767,2024-10-29 01:44:22,on
76.07110874256433,11.040887231126934,2024-10-29 01:44:24,on
