latitude,longitude,timestamp,ignition
52.750000,13.580000,2024-09-07 10:30:00,on
52.760000,13.590000,2024-09-07 10:31:00,on
52.770000,13.600000,2024-09-07 10:32:00,on
52.780000,13.610000,2024-09-07 10:33:00,on
52.790000,13.620000,2024-09-07 10:34:00,on
52.800000,13.630000,2024-09-07 10:35:00,on
52.810000,13.640000,2024-09-07 10:36:00,on
52.820000,13.650000,2024-09-07 10:37:00,on
52.830000,13.660000,2024-09-07 10:38:00,on
52.840000,13.670000,2024-09-07 10:39:00,on
52.850000,13.680000,2024-09-07 10:40:00,on
52.860000,13.690000,2024-09-07 10:41:00,on
52.870000,13.700000,2024-09-07 10:42:00,on
52.880000,13.710000,2024-09-07 10:43:00,on
52.890000,13.720000,2024-09-07 10:44:00,on
52.900000,13.730000,2024-09-07 10:45:00,on
52.910000,13.740000,2024-09-07 10:46:00,on
52.920000,13.750000,2024-09-07 10:47:00,on
52.930000,13.760000,2024-09-07 10:48:00,on
52.940000,13.770000,2024-09-07 10:49:00,on
52.950000,13.780000,2024-09-07 10:50:00,on
